sample_idx,ts_utc,ms_today,speed_meters_per_sec,erpm,duty_cycle,current_in,current_motor,d_axis_current,q_axis_current,roll,pitch,yaw,accX,accY,accZ,gyroX,gyroY,gyroZ,fault_code,d_axis_voltage,q_axis_voltage,tacho_meters,tacho_abs_meters,input_voltage,temp_mos_max,temp_motor,battery_level
160,2025-09-27 23:27:30.485000+00:00,84450485,6.280474576271186,6836.757062146893,0.6539887005649718,22.334406779661016,45.36316384180791,-0.2690395480225989,45.261242937853105,0.07464699661016949,-0.02622727966101695,0.6952188418079096,0.32722519774011305,0.8314275762711865,1.0021658192090397,1.5841610169491602,0.4659070395480227,-10.355545762711863,,-8.392067796610169,23.68331638418079,8648.806214689266,8798.875254237288,72.34237288135594,36.0,58.4,0.3973841807909605
161,2025-09-27 23:27:30.585000+00:00,84450585,6.503516129032258,6944.784946236559,0.6226236559139785,24.10451612903226,47.42892473118279,-0.9750537634408603,47.35569892473118,0.038022402150537635,-0.024364424731182794,0.7583701505376345,-0.37320734408602135,-0.1693813870967742,1.0084675268817205,24.015443010752687,-3.829976118279569,-20.280960215053767,,-8.984548387096774,24.1837311827957,8649.91311827957,8799.974193548387,72.13225806451612,36.08924731182796,58.4,0.3916451612903226
162,2025-09-27 23:27:30.685000+00:00,84450685,6.636802197802198,7120.1648351648355,0.5428351648351649,21.916923076923077,42.87395604395604,-2.414945054945055,42.536923076923074,0.01680188791208791,-0.015859774725274726,0.7875252527472528,-0.2392638571428571,0.5843166703296703,1.015014945054945,26.212313186813187,-0.8333371428571432,-7.32979120879121,,-8.55067032967033,24.214274725274723,8650.633406593406,8800.693406593407,73.97912087912088,36.1,58.4,0.38704395604395603
163,2025-09-27 23:27:30.785000+00:00,84450785,6.714987951807229,7151.44578313253,0.5796506024096385,13.824698795180723,28.33987951807229,-0.04048192771084338,28.29530120481928,-0.009957361445783132,-0.018419960240963856,0.7889637710843374,-0.047708619277108434,-0.6820777349397591,1.007976265060241,25.51985722891566,-0.4029696120481928,10.922090963855421,,-5.957060240963855,23.92896385542169,8651.286144578313,8801.346144578312,74.14578313253013,36.1,58.4,0.3859397590361446
164,2025-09-27 23:27:30.885000+00:00,84450885,6.758968421052632,7189.515789473684,0.6221578947368421,17.495263157894737,34.67631578947368,0.03789473684210526,34.68157894736842,0.012015531368421054,-0.010400346315789474,0.7719325157894736,-0.018966467368421044,-0.5448532421052632,1.002925157894737,6.822555263157895,-9.154035052631578,6.141067052631579,,-7.1144,24.38776842105263,8651.99357894737,8802.053578947369,73.09157894736842,36.1,58.4,0.3845368421052632
165,2025-09-27 23:27:30.985000+00:00,84450985,6.818239130434782,7271.130434782609,0.6244347826086957,22.81695652173913,43.517826086956525,-1.6506521739130435,43.35304347826087,0.02521400652173913,-0.005112733043478261,0.7620386304347826,0.3161513043478261,-0.49760773913043477,1.001820391304348,20.418526086956522,-13.630252173913044,7.057924782608696,,-8.798826086956522,24.820891304347825,8652.591304347825,8802.651304347826,72.67391304347827,36.1,58.4,0.3824130434782609
166,2025-09-27 23:27:31.085000+00:00,84451085,6.878384057971014,7382.724637681159,0.6186376811594203,21.324202898550723,40.5468115942029,-3.208623188405797,40.17913043478261,0.027456252898550724,-0.00875322579710145,0.7492668913043479,0.7751672463768117,-0.8968512173913044,0.9958218405797101,19.317511594202898,-17.864889855072462,9.642127681159419,,-8.494478260869565,24.805673913043478,8653.040579710145,8803.100579710144,73.68840579710145,36.1,58.4,0.38023913043478264
167,2025-09-27 23:27:31.185000+00:00,84451185,7.077684782608696,7604.989130434783,0.7061086956521739,20.494673913043478,38.17804347826087,-1.7931521739130434,38.09239130434783,0.03390520108695652,-0.02301888152173913,0.7313928913043478,-0.319236,-0.37924559782608697,0.9801628369565217,-8.228398913043478,-17.935725326086956,1.7555711956521738,,-8.313032608695652,25.471217391304346,8654.090217391305,8804.150217391305,72.08369565217392,36.1,58.4,0.37677173913043477
168,2025-09-27 23:27:31.285000+00:00,84451285,7.283527472527473,7813.868131868132,0.6680329670329671,23.259670329670328,41.84989010989011,-5.818241758241758,41.2478021978022,0.023963865384615386,-0.03559247582417582,0.749878989010989,-0.46755160439560445,-0.2497994175824176,0.9738277252747253,19.639828571428573,-4.168129010989011,-22.888664835164835,,-9.39276923076923,25.71797802197802,8654.815384615385,8804.875384615385,73.05054945054944,36.11648351648352,58.4,0.37350549450549453
169,2025-09-27 23:27:31.385000+00:00,84451385,7.453418604651163,7951.395348837209,0.6440697674418605,19.100232558139535,34.59581395348837,-4.843255813953488,34.090930232558144,-0.002467344418604651,-0.030176858139534884,0.7781790697674419,-0.40528316279069765,0.3728182372093023,0.9893697441860465,9.190753488372092,8.015108372093023,-12.33830930232558,,-8.171581395348838,25.932372093023258,8655.58976744186,8805.652558139534,73.21860465116279,36.2,58.4,0.37072093023255814
