ride_id,sample_idx,_elapsed_ms,ts_utc,ts_pst,ms_today,cf_accel,cf_brake,cf_cruise,cf_turn_left,cf_turn_right,cf_carve_left,cf_carve_right,cf_ascent,cf_descent,cf_traction_loss,cf_idle,cf_forward,cf_reverse,speed_meters_per_sec,erpm,duty_cycle,current_in,current_motor,d_axis_current,q_axis_current,roll,pitch,yaw,accX,accY,accZ,gyroX,gyroY,gyroZ,gnss_lat,fault_code,d_axis_voltage,q_axis_voltage,tacho_meters,tacho_abs_meters,gnss_lon,gnss_alt,gnss_gVel,gnss_vVel,input_voltage,temp_mos_max,temp_motor,battery_level,dt_ms,_on_grid
,20,2000.0,2025-10-02 20:43:43.978000+00:00,2025-10-02 13:43:43.978,74623978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0503224414893617,0.3986690425531915,0.1354325,-0.3817715797872341,-0.0438937781914893,0.9127445691489362,-0.3583013351063829,0.0691259819148936,-0.1819571223404255,47.5983895,,-0.0594202127659574,-0.0425797872340425,-0.122,0.235,-122.8307683,104.30000305,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,21,2100.0,2025-10-02 20:43:44.078000+00:00,2025-10-02 13:43:44.078,74624078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0509946724137931,0.3985123448275862,0.1356760344827586,-0.3815733103448276,-0.0447665689655172,0.912666,-0.4187944137931034,0.2546348275862069,-0.1571907862068965,47.5983895,,-0.059,-0.0427586206896551,-0.122,0.235,-122.8307683,104.30000305,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,22,2200.0,2025-10-02 20:43:44.178000+00:00,2025-10-02 13:43:44.178,74624178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0523375333333333,0.3982231777777777,0.1361268,-0.3828312888888889,-0.0406326755555555,0.9125750666666668,-0.1186489488888888,0.0712152222222222,-0.0748116488888888,47.5983895,,-0.059,-0.042,-0.122,0.235,-122.8307683,104.30000305,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,23,2300.0,2025-10-02 20:43:44.278000+00:00,2025-10-02 13:43:44.278,74624278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.052428764539007,0.3981682482269503,0.1362809787234042,-0.3843359432624114,-0.0381857390070922,0.9126404113475176,-0.0809639992907801,-0.3643600212765957,-0.139181295035461,47.5983895,,-0.059,-0.042,-0.122,0.235,-122.8307683,104.30000305,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,24,2400.0,2025-10-02 20:43:44.378000+00:00,2025-10-02 13:43:44.378,74624378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0524875666666666,0.3982597037037037,0.1364199259259259,-0.3843235555555555,-0.0400213148148148,0.912875,-0.058223437037037,0.1177026666666666,-0.0925613433333333,47.5983895,,-0.059,-0.042,-0.122,0.235,-122.8307683,104.30000305,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,25,2500.0,2025-10-02 20:43:44.478000+00:00,2025-10-02 13:43:44.478,74624478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0522892494505494,0.3979685714285714,0.1366200879120879,-0.3828956483516483,-0.0480863307692307,0.9128278571428572,0.4558427362637363,-0.0169244395604395,-0.0179356398901098,47.5983895,,-0.059,-0.0417582417582417,-0.122,0.235,-122.8307683,104.30000305,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,26,2600.0,2025-10-02 20:43:44.578000+00:00,2025-10-02 13:43:44.578,74624578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0509917109890109,0.3975143186813186,0.1364733296703296,-0.3849663626373626,-0.0473122098901098,0.912580868131868,0.4598480769230769,-0.2038627912087912,-0.0935964505494505,47.5983895,,-0.0593406593406593,-0.0413406593406593,-0.122,0.235,-122.8307683,104.30000305,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,27,2700.0,2025-10-02 20:43:44.678000+00:00,2025-10-02 13:43:44.678,74624678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0499887235294117,0.3972755882352941,0.1364126470588235,-0.3797019411764706,-0.0406297235294117,0.9126379411764706,0.1406446611764706,0.3562824705882353,-0.117657,47.5983895,,-0.0595294117647058,-0.042,-0.122,0.235,-122.8307683,104.30000305,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,28,2800.0,2025-10-02 20:43:44.778000+00:00,2025-10-02 13:43:44.778,74624778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0495332904411764,0.3975905955882353,0.1364577279411764,-0.3825207647058823,-0.0413271455882352,0.9130308308823528,-0.0327495832352941,0.3263629852941176,-0.0737183419117647,47.5983895,,-0.059,-0.0415955882352941,-0.122,0.235,-122.8307683,104.30000305,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,29,2900.0,2025-10-02 20:43:44.878000+00:00,2025-10-02 13:43:44.878,74624878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0494413632183908,0.3977445747126437,0.1365374597701149,-0.3889249195402299,-0.043739048275862,0.9132085747126436,-0.1660189195402298,0.1638542068965517,-0.064549508045977,47.5983895,,-0.059,-0.0412183908045977,-0.122,0.235,-122.8307683,104.30000305,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,30,3000.0,2025-10-02 20:43:44.978000+00:00,2025-10-02 13:43:44.978,74624978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0500118791208791,0.397639934065934,0.1369023626373626,-0.3840240439560439,-0.0403245274725274,0.9131909230769232,-0.2823905934065933,0.129994945054945,-0.1693475824175824,47.59830534703297,,-0.059,-0.042,-0.122,0.235,-122.8308031553846,115.61879208912087,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,31,3100.0,2025-10-02 20:43:45.078000+00:00,2025-10-02 13:43:45.078,74625078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0503061638888888,0.39736275,0.1371854930555555,-0.3818133541666667,-0.0403536548611111,0.913046125,0.1160704972222222,-0.1922197881944444,-0.0698706263888888,47.59815019,,-0.0592847222222222,-0.042,-0.122,0.235,-122.83086742,136.48780938,0.0,0.0,83.6,20.8,19.9,0.99,100,True
